tx_id,day,payer_id,payer_name,payee_id,payee_name,amount,requested_amount,reason,domain,good,location,note
128,1,F_00126,Earth Wasser Cooperative,MARKET_EARTH,Aggregierter Markt Earth,1.095872937356733,1.095872937356733,production_input,market,spares,Earth,tx_tax=0.007
129,1,MARKET_EARTH,Aggregierter Markt Earth,F_00126,Earth Wasser Cooperative,12.047010903997519,12.047010903997519,sell_production_water,market,water,Earth,
130,1,F_00127,Earth Gesundheit Cooperative,MARKET_EARTH,Aggregierter Markt Earth,1.3820959536698605,1.3820959536698605,production_input,market,energy,Earth,
131,1,F_00127,Earth Gesundheit Cooperative,MARKET_EARTH,Aggregierter Markt Earth,2.632705995072269,2.632705995072269,production_input,market,spares,Earth,tx_tax=0.016
132,1,F_00127,Earth Gesundheit Cooperative,MARKET_EARTH,Aggregierter Markt Earth,0.5552653389272373,0.5552653389272373,production_input,market,water,Earth,
133,1,MARKET_EARTH,Aggregierter Markt Earth,F_00127,Earth Gesundheit Cooperative,69.9622402076924,69.9622402076924,sell_production_healthcare,market,healthcare,Earth,
134,1,F_00128,Station Gesundheit Cooperative,MARKET_STATION,Aggregierter Markt Station,2.885691042765021,2.885691042765021,production_input,market,energy,Station,
135,1,F_00128,Station Gesundheit Cooperative,MARKET_STATION,Aggregierter Markt Station,11.791529745313078,11.791529745313078,production_input,market,spares,Station,tx_tax=0.071
136,1,F_00128,Station Gesundheit Cooperative,MARKET_STATION,Aggregierter Markt Station,2.3676168282367795,2.3676168282367795,production_input,market,water,Station,
137,1,MARKET_STATION,Aggregierter Markt Station,F_00128,Station Gesundheit Cooperative,43.707471491372054,43.707471491372054,sell_production_healthcare,market,healthcare,Station,
138,1,F_00135,Moon Wasser Cooperative,MARKET_MOON,Aggregierter Markt Moon,9.72148684179797,9.72148684179797,production_input,market,energy,Moon,
139,1,F_00135,Moon Wasser Cooperative,MARKET_MOON,Aggregierter Markt Moon,6.753573747594292,6.753573747594292,production_input,market,spares,Moon,tx_tax=0.041
140,1,MARKET_MOON,Aggregierter Markt Moon,F_00135,Moon Wasser Cooperative,90.15610906474116,90.15610906474116,sell_production_water,market,water,Moon,
141,1,F_00141,Moon Gesundheit Cooperative,MARKET_MOON,Aggregierter Markt Moon,2.8821650264461525,2.8821650264461525,production_input,market,energy,Moon,
142,1,F_00141,Moon Gesundheit Cooperative,MARKET_MOON,Aggregierter Markt Moon,8.966274172355735,8.966274172355735,production_input,market,spares,Moon,tx_tax=0.054
143,1,F_00141,Moon Gesundheit Cooperative,MARKET_MOON,Aggregierter Markt Moon,2.0032882749820073,2.0032882749820073,production_input,market,water,Moon,
144,1,MARKET_MOON,Aggregierter Markt Moon,F_00141,Moon Gesundheit Cooperative,54.24134826403508,54.24134826403508,sell_production_healthcare,market,healthcare,Moon,
145,1,F_00148,Orbit Gesundheit Cooperative,MARKET_ORBIT,Aggregierter Markt Orbit,3.1907141950322733,3.1907141950322733,production_input,market,energy,Orbit,
146,1,F_00148,Orbit Gesundheit Cooperative,MARKET_ORBIT,Aggregierter Markt Orbit,15.905982176930944,15.905982176930944,production_input,market,spares,Orbit,tx_tax=0.095
147,1,F_00148,Orbit Gesundheit Cooperative,MARKET_ORBIT,Aggregierter Markt Orbit,2.7213698934829536,2.7213698934829536,production_input,market,water,Orbit,
148,1,MARKET_ORBIT,Aggregierter Markt Orbit,F_00148,Orbit Gesundheit Cooperative,67.62347966331613,67.62347966331613,sell_production_healthcare,market,healthcare,Orbit,
149,1,F_00149,Orbit Raumfahrt Cooperative,MARKET_ORBIT,Aggregierter Markt Orbit,4.91106628048003,4.91106628048003,production_input,market,energy,Orbit,
150,1,F_00149,Orbit Raumfahrt Cooperative,MARKET_ORBIT,Aggregierter Markt Orbit,33.215572952654,33.215572952654,production_input,market,spares,Orbit,tx_tax=0.199
